array_n,list,Platform,status
118,"['Buffalo Wild Wings','California Pizza Kitchen','Carrabba's','Chevys','Chili's','Cracker Barrel']",,
119,"['El Torito','Famous Dave's','Golden Corral','HomeTown Buffet','Hooters','Houlihan's']",,
120,"['Joe's Crab Shack','Landry's Seafood House','Luby's','Old Country Buffet','Olive Garden','On The Border']",,
121,"['Red Lobster','Red Robin','Romano's Macaroni Grill','Ruby Tuesday's','Ryan's','Sizzler']",,
122,"['Taco Cabana','Texas Roadhouse','TGI Friday's','The Cheesecake Factory','Tilted Kilt','Twin Peaks']",,
123,"['Wingstop','Backyard Burgers','Blimpie','Bob Evans','Boston Market','Champps']",,
124,"['Charley's Crab','Chick-fil-A','Chipotle','Chuck E Cheese','Cici's Pizza','Cosi']",,
125,"['Dave and Buster's','Denny's','Eat 'n Park','El Pollo Loco','Elephant Bar','Five Guys']",,
126,"['Friendly's Ice Cream','Frisch's Big Boy','Fuddruckers','Green Burrito','Houston's','IHOP']",,
127,"['Marie Callender's','O'Charley's','Panda Express','Panera Bread','Pei Wei Asian Diner','Qdoba']",,
128,"['Sonic','Steak 'n' Shake','Taco Bueno','The Habit Burger Grill','Topgolf','Waffle House']",,
129,"['Zaxby's','Arby's','Baja Fresh','Bojangles'','Burger King','Captain D's']",,
130,"['Carl's Jr','Chick-fil-A','Chipotle','Church's','Del Taco','Hardee's']",,
131,"['In-N-Out','Jack in the Box','Jersey Mike's','Jimmy John's','KFC','Krystal']",,
132,"['Long John Silvers','McDelivery','McDonald's','Nathan's Famous','Popeyes','Qdoba']",,
133,"['Quiznos','Rubio's','Schlotzsky's','Subway','Taco Bell','Wendy's']",,
134,"['Whataburger','White Castle','Wienerschnitzel','A & W','Baskin Robbins','Caribou Coffee']",,
135,"['Coffee Bean & Tea Leaf','Cold Stone Creamery','Culver's','Dairy Queen','Domino's','Donatos']",,
136,"['Dunkin'','Einstein Bagels','Giordanos','Godfather','Jamba','Krispy Kreme']",,
137,"['Little Caesar's','Marco's Pizza','MOD Pizza','Noah's Bagels','Old Chicago Pasta & Pizza','Orange Julius']",,
138,"['Papa John's','Papa Murphy's','Peet's Coffee','Pinkberry','Pizza Hut','Red Mango']",,
139,"['Round Table Pizza','Seattle's Best','Smoothie King','Starbucks','Tim Horton's','Tropical Smoothie']",,
140,"['Black Angus','Bonefish','Buca di Beppo','Chart House','Fleming's','J. Alexander's']",,
141,"['Kona Grill','Logan's Roadhouse','Lone Star Steakhouse','LongHorn Steakhouse','Maggiano's','McCormick & Schmick's']",,
142,"['Morton's','Outback Steakhouse','P.F. Chang's','Rainforest Cafe','Ruth's Chris','Saltgrass Steakhouse']",,
143,"['Smith & Wollensky','Smokey Bones BBQ & Grill','Texas Roadhouse','The Palm','Tony Roma's','Abbott']",,
144,"['AbbVie','Amgen','AstraZeneca','Bausch & Lomb','Bayer','Bristol-Myers Squibb']",,
145,"['Eli Lilly','Gilead','GlaxoSmithKline','Johnson & Johnson','Merck','Novartis']",,
146,"['Novo Nordisk','Pfizer','Roche','Sanofi','1-800 Contacts','Acuvue']",,
147,"['Air Optix','Airborne','Alka-Seltzer','Benefiber','Bio Oil','Centrum']",,
148,"['Citrucel','Clear Eyes','CooperVision','Culturelle','Durex','Emergen-C']",,
149,"['Enfamil','Ensure','Glucerna','Hubble','Imodium','Lactaid']",,
150,"['Lamisil','Lotrimin','Maalox','Mederma','Metamucil','Mylanta']",,
151,"['Nature Made','Nexium','One-A-Day','Pedialyte','PediaSure','Pepcid']",,
152,"['Preparation-H','Refresh','Rolaids','Scar Away','SKYN','SynergEyes']",,
153,"['Systane','Trojan','Tums','Visine','Zantac','ZzzQuil']",,
154,"['Advil','Afrin','Alavert','Aleve','Allegra','Band-Aid']",,
155,"['Bayer Aspirin','Benadryl','Bengay','BioFreeze','Children's Motrin','Children's Tylenol']",,
156,"['ClariSpray','Claritin','Coricidin','Curad','Dayquil','Delsym']",,
