array_n,list,Platorm,Status
191,"['Twitter', 'Uber Eats', 'Vistaprint', 'WhatsApp', 'Wikipedia', 'Wix.com', 'Yahoo', 'Yelp']",,
192,"['YouTube', 'YouTube Kids', 'YouTube Music', 'YP.com (Yellow Pages)', 'Zillow', 'ZipRecruiter', 'AAMCO', 'Advance Auto Parts']",,
193,"['Arco', 'Armor All', 'AutoNation', 'AutoZone', 'BFGoodrich', 'BP', 'Bridgestone', 'Caliber Collision']",,
194,"['CarMax', 'Carquest', 'Carvana', 'Castrol', 'Chevron', 'Citgo', 'ConocoPhillips', 'Continental']",,
195,"['Cooper Tires', 'ExxonMobil', 'Firestone', 'GMGoodwrench', 'Goodyear', 'Gulf', 'Jiffy Lube', 'Marathon']",,
196,"['Michelin', 'Midas', 'Mobil 1', 'Napa Auto Parts', ""O'Reilly Auto Parts"", 'Pennzoil', 'Pep Boys', 'Safelite']",,
197,"['Shell', 'Sunoco', 'Valero', 'Valvoline', 'Age Perfect', 'Almay', 'Aquaphor', 'Aveda']",,
198,"['Aveeno', 'Aveeno Baby', 'Avon', 'Baby Magic', 'Babyganics', 'Banana Boat', 'Bath & Body Works', 'Believe Beauty']",,
199,"['Biore', 'Boots No. 7', 'CeraVe', 'Cetaphil', 'Clarins', 'Clean & Clear', 'Clearasil', 'Clinique']",,
200,"['Col-Lab', 'Coppertone', 'Cover Girl', 'Desitin', 'Differin', 'Dove Baby', 'Elizabeth Arden', 'Essie']",,
201,"['Estee Lauder', 'Eucerin', 'Exuviance', 'Flower Beauty', 'Fresh', 'Glossier', 'Gold Bond', 'Hawaiian Tropic']",,
202,"['Jergens', ""Johnson's Baby"", 'Kiehls', ""L'Occitane"", 'Lancome', 'Le Petit Marseillais', 'Lubriderm', 'Lush']",,
203,"['MAC', 'Maybelline', 'NeoStrata', 'Neutrogena', 'Nivea', 'NYX', 'Olay', 'Origins']",,
204,"['Oxy', 'Proactiv', 'Revitalift', 'Rimmel London', 'RoC', 'Sally Hansen', 'Sephora', 'Simple']",,
205,"['Smashbox', 'SoftSoap', 'St. Ives', 'StriVectin', 'The Body Shop', 'The Honest Company', 'True Match', 'Ulta Beauty']",,
206,"['Vaseline', 'Voluminous', 'Athenos Hummus', ""Baked Lay's"", 'Beanitos', 'Bear Naked', 'Bolthouse Dressings', 'Cape Cod']",,
207,"['Cheese Nips', 'Cheetos', 'Cheez-Itz', 'Chex Mix', 'Clif', 'Crunchmaster', 'Daiya Cheese Alternatives', 'DAVID Seeds']",,
208,"['Doritos', 'Emerald Nuts', 'Flat Earth', 'Food Should Taste Good', 'Fritos', 'GO Veggie! Cheese Alternatives', ""Herr's"", ""Jack Link's Beef Jerky""]",,
209,"['Ken’s Dressing', 'Kettle Brand Chips', 'KIND', 'Larabar', ""Lay's"", 'Lay’s Kettle Cooked', 'Luna', ""Marie's Dressing""]",,
210,"['Marzetti Refrigerated Dressings', 'Nature Valley', 'Orville Redenbacher', ""Pirate's Booty"", 'Pringles', 'Quest Nutrition', 'Ritz', 'Rold Gold']",,
211,"['Ruffles', 'Sabra Hummus', 'Smartfood', ""Snyder's"", ""Stacy's"", 'Sunchips', 'Tessamae', 'Think Thin']",,
212,"['Tostitos', 'Tribe Hummus', 'Triscuit', 'Utz', 'Wheat Thins', 'Wise', 'Ace Hardware', 'American Signature Furniture']",,
213,"['Art Van Furniture', 'Ashley', 'Bath and Body Works', 'Bed Bath and Beyond', 'Benjamin Moore', ""Bob's Discount Furniture"", 'Brookstone', 'Casper']",,
214,"['Crate & Barrel', 'Delta Faucet', ""Haverty's Furniture"", 'Home Depot', 'Home Goods', 'IKEA', 'Jordan’s Furniture', 'Kohler']",,
215,"['La-Z-Boy', 'Leesa', ""Lowe's"", 'Mattress Firm', 'Menards', 'Moen', 'Pier 1 Imports', 'Pottery Barn']",,
216,"['Purple', 'Raymour & Flanigan', 'Restoration Hardware', 'Rooms to Go', 'Rugs USA', 'Saatva', 'Sealy', 'Serta']",,
217,"['Serta iComfort', 'Shaw Floors', 'Simmons Beautyrest', 'Sleep Number', 'Sleepys', 'Tempur-Pedic', 'True Value', 'Tuft and Needle']",,
218,"['Value City Furniture', 'Wayfair', 'White Barn Candle', 'Williams-Sonoma', 'Yankee Candle', 'Academy', 'Bass Pro Shops', 'Beachbody']",,
219,"['Best Buy', 'Big 5 Sporting Goods', 'Blink Fitness', 'Bowflex', ""Cabela's"", 'Champs', ""Conn's"", 'Crunch Gym']",,
220,"[""Dick's"", 'F.Y.E', 'Flywheel Sports', ""Fred's"", 'GameStop', 'GNC', 'Hibbett Sports', 'Jenny Craig']",,
221,"['LA Fitness', ""Modell's"", 'MyFitnessPal', 'Nautilus', 'Noom', 'Nordic Track', 'Nutrisystem', 'Orange Theory']",,
222,"['P.C. Richard & Son', 'Peloton', 'Planet Fitness', 'REI', 'Schwinn', 'SoulCycle', 'The Vitamin Shoppe', 'Weight Watchers']",,
223,"['abercrombie kids', 'Alexis Bittar', 'American Girl', 'American Greetings', ""Athlete's Foot"", 'Bailey Banks & Biddle', 'Barnes & Noble', 'Build-A-Bear Workshop']",,
224,"['Carter’s', ""Children's Place"", 'Disney Store', 'DSW Shoes', 'Famous Footwear', 'Foot Locker', 'Gap Kids', 'Gymboree']",,
225,"['Hallmark', 'Helzberg Diamonds', 'Jared', 'John Hardy (jewelry)', ""Journey's"", 'Justice', 'Kay', 'Kendra Scott']",,
226,"['Mattel', 'Office Depot', 'OfficeMax', 'Pandora (jewelry)', 'Papyrus', 'Rack Room Shoes', 'Shoe Carnival', 'Staples']",,
227,"['The Finish Line', 'The LEGO Store', 'Tiffany & Co.', 'Toys ""R"" Us', 'Zales', 'Andersen Windows', 'Behr', 'Black & Decker']",,
228,"['Bosch', 'Craftsman', 'DeWalt', 'Diablo', 'Dremel', 'Hilti', 'Husky', 'Husqvarna']",,
229,"['Irwin', 'Jet', 'John Deere', 'Lincoln Electric', 'Makita', 'Milwaukee', 'Pella', 'Porter Cable']",,
230,"['Ramset', 'Ridgid', 'RotoZip', 'Ryobi', 'Sherwin Williams', 'Skil', 'Stanley', 'Starrett']",,
231,"['Toro', 'Universal Tool', 'Valspar', 'Wagner', 'Aeromexico', 'Air Canada', 'Air France', 'Air New Zealand']",,
