array_n,list,platform,status
227,"['Jared', 'John Hardy (jewelry)', ""Journey's"", 'Justice', 'Kay', 'Kendra Scott', 'Mattel', 'Office Depot']",,
228,"['OfficeMax', 'Pandora (jewelry)', 'Papyrus', 'Rack Room Shoes', 'Shoe Carnival', 'Staples', 'The Finish Line', 'The LEGO Store']",,
229,"['Tiffany & Co.', 'Toys ""R"" Us', 'Zales', 'Andersen Windows', 'Behr', 'Benjamin Moore', 'Black & Decker', 'Bosch']",,
230,"['Craftsman', 'DeWalt', 'Diablo', 'Dremel', 'Hilti', 'Husky', 'Husqvarna', 'Irwin']",,
231,"['Jet', 'John Deere', 'Lincoln Electric', 'Makita', 'Milwaukee', 'Pella', 'Porter Cable', 'Ramset']",,
232,"['Ridgid', 'RotoZip', 'Ryobi', 'Sherwin Williams', 'Skil', 'Stanley', 'Starrett', 'Toro']",,
233,"['Universal Tool', 'Valspar', 'Wagner', 'Aeromexico', 'Air Canada', 'Air France', 'Air New Zealand', 'Alaska Air']",,
234,"['Alitalia', 'American Airlines', 'British Airways', 'Cathay Pacific', 'Delta', 'EasyJet', 'El Al', 'Emirates']",,
235,"['Frontier', 'Hawaiian Airlines', 'JetBlue', 'KLM', 'Korean Air', 'Lufthansa', 'Norwegian', 'Qantas']",,
236,"['Qatar Airways', 'Singapore Airlines', 'Southwest', 'Spirit Airlines', 'United', 'Virgin Atlantic', 'Alamo', 'American Express Travel']",,
237,"['Amtrak', 'Avis', 'Booking.com', 'Budget', 'Busch Gardens', 'Carnival Cruise Line', 'Cedar Point', 'Celebrity Cruises']",,
238,"['CheapTickets', 'choicehotels.com', 'Colonial Williamsburg', 'Cruise (a self-driving car service)', 'Disneyland / Disney World', 'Dollar', 'Enterprise', 'Expedia']",,
239,"['Great Wolf Lodge', 'Greyhound', 'Hertz', 'Holland America Line', 'Hotels.com', 'HotelTonight', 'Hotwire.com', 'Kalahari']",,
240,"[""Knott's Berry Farm"", 'Lyft', 'National', 'Norwegian Cruise Lines', 'Orbitz', 'Priceline.com', 'Princess Cruises', 'Royal Caribbean Cruises']",,
241,"['Sea World', 'Six Flags', 'Thrifty', 'Travelocity', 'travelzoo.com', 'Tripadvisor', 'Trivago', 'Uber']",,
242,"['Universal Studios', 'Universal Studios Hollywood', 'Universal Studios Orlando', 'Viking Ocean Cruises', 'Virgin Voyages', 'Waymo (a self-driving car service)', 'Zipcar', 'airbnb']",,
243,"['Aloft', 'Andaz', 'Best Western', 'Comfort Inn', 'Country Inn & Suites', 'Courtyard by Marriott', 'Crowne Plaza', 'Days Inn']",,
244,"['Doubletree', 'Econo Lodge', 'Embassy Suites', 'Four Seasons', 'Grand Hyatt', 'Hampton Inn', 'Hilton', 'Hilton Garden Inn']",,
245,"['Holiday Inn', 'Holiday Inn Express', 'HomeAway', 'Homewood Suites', 'Hotel Indigo', 'Hyatt', 'Hyatt Centric', 'Hyatt House']",,
246,"['Hyatt Place', 'Hyatt Regency', 'Intercontinental Hotels', 'JW Marriott', 'Kimpton Hotels & Restaurants', 'La Quinta Inn', 'Mandarin Oriental', 'Marriott']",,
247,"['Motel 6', 'Omni Hotels', 'Park Hyatt', 'Radisson', 'Ramada', 'Red Roof Inn', 'Residence Inn', 'Ritz-Carlton']",,
248,"['Shangri-La', 'Sheraton', 'Springhill Suites', 'Super 8 Motels', 'The Peninsula', 'TownePlace Suites', 'Trump Hotels', 'VRBO']",,
249,"['W Hotels', 'Waldorf-Astoria', 'Westin', 'Wyndham Hotels & Resorts']",,
